Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature,humidity ,,,,,,,
78646,turmeric,25,60,100,5.06,2169.32,23.73636364,80.86305427,,,,,,rice,82.27282154
8959,moong,20,40,20,5.62,510.05,33.37333333,85.49997454,,,,,,jowar,83.6912729
48602,turmeric,25,60,100,4.92,1501.98,25.81818182,80.86305427,,,,,,soyabean,48.43839821
51089,ragi,50,40,20,5.4,1246.715,22.6,80.86078808,,,,,,sunflower,50.59023438
14644,banana,100,75,50,6.6,1350.025,26.01818182,80.35812258,,,,,,sweetpotato,81.53893093
37286,moong,20,40,20,5.46,510.05,33.37333333,85.49997454,,,,,,tomato,82.91064414
61337,barley,70,40,45,5.38,140.52,12.5,83.67990891,,,,,,turmeric,80.86305427
10012,maize,80,40,20,5.68,579.75,34.01,65.09224945,,,,,,watermelon,85.16037529
82358,rice,80,40,40,5.64,423.745,22.07,82.27282154,,,,,,wheat,69.69871028
27063,horsegram,20,60,20,5.86,199.2125,21.3,53.04408395,,,,,,,
29799,coriander,10,20,20,6.68,556.2,28.54545455,85.21199775,,,,,,,
71803,ragi,50,40,20,5.5,840.46,33.58333333,80.86078808,,,,,,,
9555,rice,80,40,40,5.4,297.66,29.56666667,82.27282154,,,,,,,
59863,potato,180,60,90,4.9,1111.68,28.64818182,78.95371989,,,,,,,
43046,mango,20,20,30,5.18,1603.2375,22.89090909,50.1565727,,,,,,,
6650,maize,80,40,20,5.44,199.2125,21.3,65.09224945,,,,,,,
39039,barley,70,40,45,5.56,75.32,22.676,83.67990891,,,,,,,
44892,tomato,100,40,90,6.02,714.68,26.45454545,82.91064414,,,,,,,
74951,rice,80,40,40,5.64,702.459,27.23333333,82.27282154,,,,,,,
69411,cotton,120,40,20,5.52,579.75,34.01,79.84347425,,,,,,,
56214,rice,80,40,40,5.54,288.3,25.46,82.27282154,,,,,,,
67303,jowar,80,40,40,5.68,607.48,26.36666667,83.6912729,,,,,,,
31436,horsegram,20,60,20,5.94,654.34,29.26666667,53.04408395,,,,,,,
98924,moong,20,40,20,5.66,579.75,34.01,85.49997454,,,,,,,
69827,wheat,60,30,30,6.5,75.32,22.676,69.69871028,,,,,,,
75576,jowar,80,40,40,5.34,162.72,29.4,83.6912729,,,,,,,
2544,wheat,60,30,30,6.9,167.38,23.56,69.69871028,,,,,,,
47869,rapeseed,50,40,20,5.16,75.32,22.676,67.94262421,,,,,,,
85671,horsegram,20,60,20,6.1,288.3,25.46,53.04408395,,,,,,,
65330,onion,120,60,65,5.86,122.42,18.58,81.80738171,,,,,,,
35259,brinjal,80,15,40,6.48,1111.68,28.64818182,80.74756245,,,,,,,
79014,moong,20,40,20,5.52,840.46,33.58333333,85.49997454,,,,,,,
96264,garlic,50,10,60,5.46,1111.68,28.64818182,87.04405082,,,,,,,
59968,rice,80,40,40,5.54,607.48,26.36666667,82.27282154,,,,,,,
97802,coriander,10,20,20,6.66,556.2,28.54545455,85.21199775,,,,,,,
72559,barley,70,40,45,5.4,240.1,10.38,83.67990891,,,,,,,
56322,maize,80,40,20,5.56,288.3,25.46,65.09224945,,,,,,,
66885,coriander,10,20,20,6.36,1111.68,28.64818182,85.21199775,,,,,,,
82537,wheat,60,30,30,6.6,70.598,18.92,69.69871028,,,,,,,
46886,moong,20,40,20,5.4,297.66,29.56666667,85.49997454,,,,,,,
1966,maize,80,40,20,5.32,1011.49,30.43,65.09224945,,,,,,,
76964,potato,180,60,90,4.92,75.32,22.676,78.95371989,,,,,,,
77524,maize,80,40,20,5.32,34.81,34.66666667,65.09224945,,,,,,,
54572,banana,100,75,50,6.38,942.8,28.99454545,80.35812258,,,,,,,
27067,wheat,60,30,30,6.12,199.2125,21.3,69.69871028,,,,,,,
45509,onion,120,60,65,6.06,1426.3,26.73636364,81.80738171,,,,,,,
58229,onion,120,60,65,5.88,240.1,10.38,81.80738171,,,,,,,
9239,garlic,50,10,60,5.34,556.2,28.54545455,87.04405082,,,,,,,
64987,wheat,60,30,30,6.3,15.34,27.276,69.69871028,,,,,,,
45442,horsegram,20,60,20,6.12,1145.22,28.5,53.04408395,,,,,,,
71173,potato,180,60,90,4.94,2169.32,23.73636364,78.95371989,,,,,,,
43708,potato,180,60,90,4.9,1111.68,28.64818182,78.95371989,,,,,,,
53496,jute,80,40,40,5.54,1145.22,28.5,79.63986421,,,,,,,
72140,potato,180,60,90,5.12,1151.02,28.03333333,78.95371989,,,,,,,
1574,horsegram,20,60,20,6.02,199.2125,21.3,53.04408395,,,,,,,
73395,horsegram,20,60,20,6.18,1246.715,22.6,53.04408395,,,,,,,
78582,blackgram,40,60,20,4.96,127.68,20.8,65.11842559,,,,,,,
69080,sunflower,50,60,30,5.44,942.8,28.99454545,50.59023438,,,,,,,
55488,jowar,80,40,40,5.62,579.75,34.01,83.6912729,,,,,,,
585,rapeseed,50,40,20,4.84,127.68,20.8,67.94262421,,,,,,,
27173,rice,80,40,40,5.36,157.31,25.83333333,82.27282154,,,,,,,
6211,banana,100,75,50,6.52,810.26,29.95636364,80.35812258,,,,,,,
44803,ragi,50,40,20,5.36,607.48,26.36666667,80.86078808,,,,,,,
43599,brinjal,80,15,40,6.44,1111.68,28.64818182,80.74756245,,,,,,,
33918,wheat,60,30,30,6.3,122.42,18.58,69.69871028,,,,,,,
41880,moong,20,40,20,5.6,790.98,30.61666667,85.49997454,,,,,,,
43157,cardamom,75,75,150,4.84,1603.2375,22.89090909,83.00331663,,,,,,,
51262,jowar,80,40,40,5.64,1246.715,22.6,83.6912729,,,,,,,
97792,cotton,120,40,20,5.36,510.05,33.37333333,79.84347425,,,,,,,
57810,garlic,50,10,60,5.5,810.26,29.95636364,87.04405082,,,,,,,
46093,potato,180,60,90,4.82,556.2,28.54545455,78.95371989,,,,,,,
22506,moong,20,40,20,5.42,510.05,33.37333333,85.49997454,,,,,,,
85551,moong,20,40,20,5.32,182.5,29.2,85.49997454,,,,,,,
34273,banana,100,75,50,6.34,1603.2375,22.89090909,80.35812258,,,,,,,
99203,moong,20,40,20,5.32,34.81,34.66666667,85.49997454,,,,,,,
1956,wheat,60,30,30,6.11,73.47,23.562,69.69871028,,,,,,,
78406,jowar,80,40,40,5.36,654.34,29.26666667,83.6912729,,,,,,,
29962,jowar,80,40,40,5.46,297.66,29.56666667,83.6912729,,,,,,,
17037,onion,120,60,65,5.84,689.88,29.03727273,81.80738171,,,,,,,
53582,maize,80,40,20,5.36,1145.22,28.5,65.09224945,,,,,,,
99778,rice,80,40,40,5.66,152.54,22.28,82.27282154,,,,,,,
38857,rapeseed,50,40,20,5.06,75.32,22.676,67.94262421,,,,,,,
29131,moong,20,40,20,5.58,1145.22,28.5,85.49997454,,,,,,,
60688,horsegram,20,60,20,6.04,113.7,30.26666667,53.04408395,,,,,,,
85510,barley,70,40,45,5.34,152.54,22.28,83.67990891,,,,,,,
32936,wheat,60,30,30,6.9,87.2,23.106,69.69871028,,,,,,,
18360,onion,120,60,65,6.04,2169.32,23.73636364,81.80738171,,,,,,,
17617,jute,80,40,40,5.4,1166.94,28.33333333,79.63986421,,,,,,,
94881,potato,180,60,90,5.04,240.1,10.38,78.95371989,,,,,,,
65588,garlic,50,10,60,5.66,1603.2375,22.89090909,87.04405082,,,,,,,
19591,maize,80,40,20,5.44,331.88,35.34666667,65.09224945,,,,,,,
8092,rice,80,40,40,5.4,40.023,23.14,82.27282154,,,,,,,
47148,turmeric,25,60,100,5.18,942.8,28.99454545,80.86305427,,,,,,,
75375,rapeseed,50,40,20,4.9,167.38,23.56,67.94262421,,,,,,,
17953,ragi,50,40,20,5.54,654.34,29.26666667,80.86078808,,,,,,,
98790,sweetpotato,90,20,120,4.98,579.75,34.01,81.53893093,,,,,,,
27876,ragi,50,40,20,5.66,1011.49,30.43,80.86078808,,,,,,,
53641,rice,80,40,40,5.46,411.52,34.73,82.27282154,,,,,,,
52090,jowar,80,40,40,5.64,1011.49,30.43,83.6912729,,,,,,,
51713,coriander,10,20,20,6.66,1111.68,28.64818182,85.21199775,,,,,,,
67436,cotton,120,40,20,5.6,56.236,15.852,79.84347425,,,,,,,
36439,rice,80,40,40,5.68,235.4251,26.64666667,82.27282154,,,,,,,
31553,wheat,60,30,30,6.6,288.3,25.46,69.69871028,,,,,,,
71654,rice,80,40,40,5.4,87.2,23.106,82.27282154,,,,,,,
35211,maize,80,40,20,5.44,1011.49,30.43,65.09224945,,,,,,,
19356,maize,80,40,20,5.54,1151.02,28.03333333,65.09224945,,,,,,,
48433,rapeseed,50,40,20,5.12,152.54,22.28,67.94262421,,,,,,,
44307,barley,70,40,45,5.56,73.47,23.562,83.67990891,,,,,,,
42052,rice,80,40,40,5.34,331.88,35.34666667,82.27282154,,,,,,,
21243,rice,80,40,40,5.36,1011.49,30.43,82.27282154,,,,,,,
6399,rapeseed,50,40,20,5.08,41.3,21.704,67.94262421,,,,,,,
40872,potato,180,60,90,4.88,1026.64,29.18636364,78.95371989,,,,,,,
58794,blackpepper,100,60,50,5.18,1603.2375,22.89090909,80.74631724,,,,,,,
44704,mango,20,20,30,5.08,714.68,26.45454545,50.1565727,,,,,,,
47444,onion,120,60,65,6.02,75.32,22.676,81.80738171,,,,,,,
12723,barley,70,40,45,5.36,240.1,10.38,83.67990891,,,,,,,
690,rapeseed,50,40,20,5.06,87.2,23.106,67.94262421,,,,,,,
33209,garlic,50,10,60,5.32,1299.26,26.51818182,87.04405082,,,,,,,
26243,sunflower,50,60,30,5.58,1151.02,28.03333333,50.59023438,,,,,,,
55767,soyabean,20,60,20,5.46,1110.78,25.66666667,48.43839821,,,,,,,
28829,wheat,60,30,30,6.9,70.598,18.92,69.69871028,,,,,,,
13773,onion,120,60,65,6,1111.68,28.64818182,81.80738171,,,,,,,
89735,horsegram,20,60,20,5.98,167.38,23.56,53.04408395,,,,,,,
36647,wheat,60,30,30,6.6,167.38,23.56,69.69871028,,,,,,,
41436,maize,80,40,20,5.5,98.98,34.92333333,65.09224945,,,,,,,
91896,sweetpotato,90,20,120,4.96,579.75,34.01,81.53893093,,,,,,,
54403,horsegram,20,60,20,5.96,297.66,29.56666667,53.04408395,,,,,,,
73913,maize,80,40,20,5.6,1011.49,30.43,65.09224945,,,,,,,
92271,maize,80,40,20,5.58,579.75,34.01,65.09224945,,,,,,,
75832,rice,80,40,40,5.54,510.05,33.37333333,82.27282154,,,,,,,
40714,orange,20,10,10,4.04,2169.32,23.73636364,92.17020876,,,,,,,
7842,maize,80,40,20,5.62,607.48,26.36666667,65.09224945,,,,,,,
56693,moong,20,40,20,5.52,127.68,20.8,85.49997454,,,,,,,
78761,onion,120,60,65,5.98,2169.32,23.73636364,81.80738171,,,,,,,
87120,onion,120,60,65,6.06,1299.26,26.51818182,81.80738171,,,,,,,
23189,cotton,120,40,20,5.62,297.66,29.56666667,79.84347425,,,,,,,
82902,rice,80,40,40,5.38,1145.22,28.5,82.27282154,,,,,,,
25857,banana,100,75,50,6.34,1026.64,29.18636364,80.35812258,,,,,,,
63198,rice,80,40,40,5.58,152.54,22.28,82.27282154,,,,,,,
33674,moong,20,40,20,5.38,664.94,22.03333333,85.49997454,,,,,,,
64495,rapeseed,50,40,20,5.1,94.02,22.38,67.94262421,,,,,,,
95035,rice,80,40,40,5.4,157.31,25.83333333,82.27282154,,,,,,,
33806,wheat,60,30,30,6.3,293.36,14.7,69.69871028,,,,,,,
28438,maize,80,40,20,5.62,70.11,25.6,65.09224945,,,,,,,
58405,rice,80,40,40,5.36,122.42,18.58,82.27282154,,,,,,,
25913,banana,100,75,50,6.48,1026.64,29.18636364,80.35812258,,,,,,,
23690,rice,80,40,40,5.5,34.81,34.66666667,82.27282154,,,,,,,
84911,barley,70,40,45,5.56,75.32,22.676,83.67990891,,,,,,,
68182,cotton,120,40,20,5.68,510.05,33.37333333,79.84347425,,,,,,,
29054,turmeric,25,60,100,4.84,1426.3,26.73636364,80.86305427,,,,,,,
63377,maize,80,40,20,5.38,288.3,25.46,65.09224945,,,,,,,
98664,onion,120,60,65,6.02,75.32,22.676,81.80738171,,,,,,,
50792,wheat,60,30,30,6.11,122.42,18.58,69.69871028,,,,,,,
55940,rice,80,40,40,5.62,1166.94,28.33333333,82.27282154,,,,,,,
49161,sweetpotato,90,20,120,5.02,2169.32,23.73636364,81.53893093,,,,,,,
69703,rapeseed,50,40,20,5.06,75.32,22.676,67.94262421,,,,,,,
50036,rapeseed,50,40,20,4.96,94.02,22.38,67.94262421,,,,,,,
87306,moong,20,40,20,5.64,790.98,30.61666667,85.49997454,,,,,,,
52343,jowar,80,40,40,5.46,1011.49,30.43,83.6912729,,,,,,,
52561,wheat,60,30,30,6.11,70.11,25.6,69.69871028,,,,,,,
13943,rapeseed,50,40,20,5.06,73.47,23.562,67.94262421,,,,,,,
30854,maize,80,40,20,5.48,75.32,22.676,65.09224945,,,,,,,
23646,potato,180,60,90,5.06,689.88,29.03727273,78.95371989,,,,,,,
96776,jowar,80,40,40,5.44,607.48,26.36666667,83.6912729,,,,,,,
12772,horsegram,20,60,20,6.1,664.94,22.03333333,53.04408395,,,,,,,
12717,barley,70,40,45,5.38,240.1,10.38,83.67990891,,,,,,,
44931,bittergourd,60,10,20,6.44,1350.025,26.01818182,93.19222141,,,,,,,
32347,maize,80,40,20,5.48,840.46,33.58333333,65.09224945,,,,,,,
58539,jowar,80,40,40,5.38,1246.715,22.6,83.6912729,,,,,,,
92289,moong,20,40,20,5.6,579.75,34.01,85.49997454,,,,,,,
75568,cotton,120,40,20,5.6,3.274569,29,79.84347425,,,,,,,
90759,turmeric,25,60,100,4.96,884.5,27.65454545,80.86305427,,,,,,,
2129,barley,70,40,45,5.42,73.47,23.562,83.67990891,,,,,,,
19805,soyabean,20,60,20,5.34,664.94,22.03333333,48.43839821,,,,,,,
44443,maize,80,40,20,5.48,1011.49,30.43,65.09224945,,,,,,,
17093,maize,80,40,20,5.4,579.75,34.01,65.09224945,,,,,,,
98090,wheat,60,30,30,6.11,140.52,12.5,69.69871028,,,,,,,
67825,moong,20,40,20,5.4,1145.22,28.5,85.49997454,,,,,,,
93047,cotton,120,40,20,5.6,654.34,29.26666667,79.84347425,,,,,,,
7340,sweetpotato,90,20,120,4.88,2817.86,27.90909091,81.53893093,,,,,,,
20777,cotton,120,40,20,5.38,1011.49,30.43,79.84347425,,,,,,,
62373,wheat,60,30,30,6.6,75.32,22.676,69.69871028,,,,,,,
61685,blackpepper,100,60,50,5.14,884.5,27.65454545,80.74631724,,,,,,,
74633,sunflower,50,60,30,5.54,607.48,26.36666667,50.59023438,,,,,,,
98114,rice,80,40,40,5.6,297.66,29.56666667,82.27282154,,,,,,,
63433,cotton,120,40,20,5.68,654.34,29.26666667,79.84347425,,,,,,,
91893,moong,20,40,20,5.38,579.75,34.01,85.49997454,,,,,,,
51206,maize,80,40,20,5.5,1246.715,22.6,65.09224945,,,,,,,
13093,turmeric,25,60,100,5.12,1603.2375,22.89090909,80.86305427,,,,,,,
26915,horsegram,20,60,20,5.88,516.68,27.86666667,53.04408395,,,,,,,
40901,moong,20,40,20,5.5,98.98,34.92333333,85.49997454,,,,,,,
76143,turmeric,25,60,100,4.98,884.5,27.65454545,80.86305427,,,,,,,
63268,ragi,50,40,20,5.62,288.3,25.46,80.86078808,,,,,,,
64899,jowar,80,40,40,5.44,790.98,30.61666667,83.6912729,,,,,,,
86870,maize,80,40,20,5.42,840.46,33.58333333,65.09224945,,,,,,,
50864,wheat,60,30,30,6.5,122.42,18.58,69.69871028,,,,,,,
83317,wheat,60,30,30,6.1,19.38,22.766,69.69871028,,,,,,,
70249,soyabean,20,60,20,5.56,1110.78,25.66666667,48.43839821,,,,,,,
26683,barley,70,40,45,5.52,41.3,21.704,83.67990891,,,,,,,
97790,sweetpotato,90,20,120,4.9,556.2,28.54545455,81.53893093,,,,,,,
8580,potato,180,60,90,5.16,167.38,23.56,78.95371989,,,,,,,
14463,soyabean,20,60,20,5.5,607.48,26.36666667,48.43839821,,,,,,,
8296,horsegram,20,60,20,5.88,167.38,23.56,53.04408395,,,,,,,
24965,jowar,80,40,40,5.46,654.34,29.26666667,83.6912729,,,,,,,
1747,horsegram,20,60,20,6.08,199.2125,21.3,53.04408395,,,,,,,
3904,rapeseed,50,40,20,5.08,75.32,22.676,67.94262421,,,,,,,
81799,rapeseed,50,40,20,4.94,73.47,23.562,67.94262421,,,,,,,
82497,rice,80,40,40,5.44,207.55,26.43333333,82.27282154,,,,,,,
226,sunflower,50,60,30,5.46,1712.66,11.2,50.59023438,,,,,,,
6153,rice,80,40,40,5.44,790.98,30.61666667,82.27282154,,,,,,,
19972,rice,80,40,40,5.68,1246.715,22.6,82.27282154,,,,,,,
84145,rice,80,40,40,5.32,1220.22,27.26666667,82.27282154,,,,,,,
91462,rice,80,40,40,5.68,34.81,34.66666667,82.27282154,,,,,,,
866,onion,120,60,65,5.88,1026.64,29.18636364,81.80738171,,,,,,,
14238,garlic,50,10,60,5.42,1111.68,28.64818182,87.04405082,,,,,,,
15469,rice,80,40,40,5.48,113.7,30.26666667,82.27282154,,,,,,,
33350,onion,120,60,65,5.96,810.26,29.95636364,81.80738171,,,,,,,
70106,sunflower,50,60,30,5.62,34.81,34.66666667,50.59023438,,,,,,,
22088,sweetpotato,90,20,120,5.1,1426.3,26.73636364,81.53893093,,,,,,,
93075,maize,80,40,20,5.5,1712.66,11.2,65.09224945,,,,,,,
98550,sweetpotato,90,20,120,5.12,579.75,34.01,81.53893093,,,,,,,
24499,horsegram,20,60,20,6.12,152.54,22.28,53.04408395,,,,,,,
55307,onion,120,60,65,5.84,689.88,29.03727273,81.80738171,,,,,,,
60793,moong,20,40,20,5.38,113.7,30.26666667,85.49997454,,,,,,,
87,rice,80,40,40,5.4,288.3,25.46,82.27282154,,,,,,,
94484,rapeseed,50,40,20,5.02,15.34,27.276,67.94262421,,,,,,,
70050,maize,80,40,20,5.34,579.75,34.01,65.09224945,,,,,,,
93437,blackpepper,100,60,50,5.12,2169.32,23.73636364,80.74631724,,,,,,,
31737,ragi,50,40,20,5.38,288.3,25.46,80.86078808,,,,,,,
1318,potato,180,60,90,5.18,810.26,29.95636364,78.95371989,,,,,,,
59525,wheat,60,30,30,6.9,73.47,23.562,69.69871028,,,,,,,
62357,maize,80,40,20,5.34,579.75,34.01,65.09224945,,,,,,,
95125,wheat,60,30,30,6.6,199.2125,21.3,69.69871028,,,,,,,
88980,jowar,80,40,40,5.42,73.47,23.562,83.6912729,,,,,,,
51643,rice,80,40,40,5.52,1997.12,27,82.27282154,,,,,,,
62929,soyabean,20,60,20,5.36,1110.78,25.66666667,48.43839821,,,,,,,
7144,sunflower,50,60,30,5.32,1246.715,22.6,50.59023438,,,,,,,
55649,ragi,50,40,20,5.44,1110.78,25.66666667,80.86078808,,,,,,,
4193,potato,180,60,90,4.98,689.88,29.03727273,78.95371989,,,,,,,
74673,sunflower,50,60,30,5.62,37.09,27.96666667,50.59023438,,,,,,,
59714,moong,20,40,20,5.36,1011.49,30.43,85.49997454,,,,,,,
39158,barley,70,40,45,5.36,75.32,22.676,83.67990891,,,,,,,
3716,jowar,80,40,40,5.46,579.75,34.01,83.6912729,,,,,,,
78319,ragi,50,40,20,5.64,654.34,29.26666667,80.86078808,,,,,,,
68381,garlic,50,10,60,5.4,556.2,28.54545455,87.04405082,,,,,,,
28759,maize,80,40,20,5.4,207.55,26.43333333,65.09224945,,,,,,,
7633,rice,80,40,40,5.62,1011.49,30.43,82.27282154,,,,,,,
6062,ragi,50,40,20,5.46,840.46,33.58333333,80.86078808,,,,,,,
45825,cotton,120,40,20,5.68,411.52,34.73,79.84347425,,,,,,,
96448,jowar,80,40,40,5.46,1011.49,30.43,83.6912729,,,,,,,
54724,coriander,10,20,20,6.54,942.8,28.99454545,85.21199775,,,,,,,
65437,rice,80,40,40,5.54,976.06,25.66666667,82.27282154,,,,,,,
40864,maize,80,40,20,5.32,87.2,23.106,65.09224945,,,,,,,
41254,barley,70,40,45,5.64,87.2,23.106,83.67990891,,,,,,,
99428,garlic,50,10,60,5.42,1411.78,19.94545455,87.04405082,,,,,,,
20225,sunflower,50,60,30,5.58,199.2125,21.3,50.59023438,,,,,,,
12691,rice,80,40,40,5.36,664.94,22.03333333,82.27282154,,,,,,,
59914,maize,80,40,20,5.36,1011.49,30.43,65.09224945,,,,,,,
14411,maize,80,40,20,5.36,607.48,26.36666667,65.09224945,,,,,,,
21599,wheat,60,30,30,6.5,70.11,25.6,69.69871028,,,,,,,
20016,sunflower,50,60,30,5.4,157.31,25.83333333,50.59023438,,,,,,,
53336,wheat,60,30,30,6.8,113.7,30.26666667,69.69871028,,,,,,,
60541,rice,80,40,40,5.42,1145.22,28.5,82.27282154,,,,,,,
76692,barley,70,40,45,5.5,75.32,22.676,83.67990891,,,,,,,
93760,maize,80,40,20,5.36,840.46,33.58333333,65.09224945,,,,,,,
52673,banana,100,75,50,6.4,1350.025,26.01818182,80.35812258,,,,,,,
5222,cotton,120,40,20,5.64,1543.76,27.33333333,79.84347425,,,,,,,
32157,rice,80,40,40,5.44,497.88,25.03333333,82.27282154,,,,,,,
72041,maize,80,40,20,5.34,1151.02,28.03333333,65.09224945,,,,,,,
43062,moong,20,40,20,5.32,199.2125,21.3,85.49997454,,,,,,,
75112,rapeseed,50,40,20,4.88,70.598,18.92,67.94262421,,,,,,,
22724,moong,20,40,20,5.42,510.05,33.37333333,85.49997454,,,,,,,
16861,ragi,50,40,20,5.42,75.32,22.676,80.86078808,,,,,,,
98372,cotton,120,40,20,5.68,770.44,28.68,79.84347425,,,,,,,
52859,cotton,120,40,20,5.32,235.4251,26.64666667,79.84347425,,,,,,,
71288,barley,70,40,45,5.36,87.2,23.106,83.67990891,,,,,,,
88820,rice,80,40,40,5.56,1111.68,28.64818182,82.27282154,,,,,,,
27853,coriander,10,20,20,6.6,1111.68,28.64818182,85.21199775,,,,,,,
60072,moong,20,40,20,5.36,607.48,26.36666667,85.49997454,,,,,,,
48184,wheat,60,30,30,6.7,75.32,22.676,69.69871028,,,,,,,
43132,tomato,100,40,90,5.96,1603.2375,22.89090909,82.91064414,,,,,,,
56083,sunflower,50,60,30,5.4,1037.32,28.08181818,50.59023438,,,,,,,
25771,rice,80,40,40,5.5,840.46,33.58333333,82.27282154,,,,,,,
16895,sunflower,50,60,30,5.44,579.75,34.01,50.59023438,,,,,,,
91841,soyabean,20,60,20,5.64,579.75,34.01,48.43839821,,,,,,,
56900,rice,80,40,40,5.64,87.2,23.106,82.27282154,,,,,,,
82907,horsegram,20,60,20,6,167.38,23.56,53.04408395,,,,,,,
42224,rice,80,40,40,5.54,331.88,35.34666667,82.27282154,,,,,,,
95995,cotton,120,40,20,5.56,1011.49,30.43,79.84347425,,,,,,,
21201,coriander,10,20,20,6.36,1111.68,28.64818182,85.21199775,,,,,,,
578,sweetpotato,90,20,120,5.1,2169.32,23.73636364,81.53893093,,,,,,,
58331,rice,80,40,40,5.64,516.68,27.86666667,82.27282154,,,,,,,
64622,potato,180,60,90,5.06,94.02,22.38,78.95371989,,,,,,,
18811,maize,80,40,20,5.48,840.46,33.58333333,65.09224945,,,,,,,
92864,maize,80,40,20,5.36,654.34,29.26666667,65.09224945,,,,,,,
9451,sweetpotato,90,20,120,5.1,884.5,27.65454545,81.53893093,,,,,,,
99396,sweetpotato,90,20,120,5.18,579.75,34.01,81.53893093,,,,,,,
67508,sunflower,50,60,30,5.6,207.55,26.43333333,50.59023438,,,,,,,
12931,coriander,10,20,20,6.6,1603.2375,22.89090909,85.21199775,,,,,,,
87645,banana,100,75,50,6.64,1603.2375,22.89090909,80.35812258,,,,,,,
80914,onion,120,60,65,6.1,1246.715,22.6,81.80738171,,,,,,,
